"birth","homepage","name_cn","photo","url","hobby","experience","party","sc_secrs","assembly_idx","popong_idx","email","name_en","name_kr","aides","district","committee","off_phone","when_elected","idx","pr_secrs"
"1960-04-29","http://www.ksdd.net","權性東","http://www.assembly.go.kr/photo/9770679.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770679","등산,독서 / 운동","1979.02  강릉명륜고등학교 졸업||1984.02  중앙대학교 법학과 졸업||1986.02  중앙대학교 대학원 (사법전공) 수료||1985.11  제 27회 사법시험 합격||1988.02  사법연수원 제 17기 수료||1991.02  해군법무관 전역||1991.03  수원지방검찰청 검사||1993.09  춘천지방검찰청 강릉지청 검사||1994.03  서울중앙지방검찰청 검사(특수)||1996.08  법무부 인권과 검사||1999.03  서울동부지방검찰청 검사 ？ 부부장검사||2000.08  광주지방검찰청 장흥지청장||2001.06  서울지방검찰청 부부장검사||2002.08  광주지방검찰청 조사부장, 형사 제3부장검사||2003.08  서울중앙지검 부부장 검사||2004.08  대검찰청 범죄정보 제2담당관||2005.04  인천지방검찰청 특별수사부 부장검사||2006.02  광주고등검찰청 검사||2006.04  의원면직 (법무법인 서정 구성원변호사)||2007.04  강릉시 종합자원봉사센터 운영위원||2007.06  한나라당 대통령후보 경선 국민검증위원회 실무위원||2007.09  2007 선진국민 강원연대  상임대표||2007.11  한나라당 클린정치위원회 법률지원단 팀장||2008.12  제17대 대통령직인수인위원회 법무행정분과 상근자문위원||2008.07  대통령실 법무비서관||2009.10  제18대 국회의원||2010~཈ 지식경제위원회 위원||한나라당 원내부대표||예산결산특별위원회 위원||강원도당위원장||2012.05  제19대 국회의원||새누리당 정책위 부의장||법제사법위원회 간사||예산결산특별위원회 위원||국회쇄신특별위원회 위원||평창동계올림픽 및 국제경기대회지원 특별위원회 위원","새누리당","안청모 , 이재호 , 신윤정",9770679,19601157,"ksdd22@naver.com","KWEON Seong Dong","권성동","권통일 , 최영철","강원 강릉시","환경노동위원회 , 정보위원회 , 평창동계올림픽 및 국제경기대회지원 특별위원회","02-784-3396~8 / 788-2469","재선( 18대 , 19대 )",684,"김대식 , 황성현"
"1959-05-24","http://www.eunhee.kr","權恩嬉","http://www.assembly.go.kr/photo/9770710.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770710","","대구 원화여고 졸업||경북대학교 공과대학 졸업(전자공학과 학사)||서울대학교 공과대학원 졸업(컴퓨터공학과 석사)||||제19대 국회의원(새누리당 대구 북구갑)||새누리당 대변인||국회 미래창조과학방송통신위원회 위원||새누리당 직능특위 정보통신분과위원장||||전) 국회 예산결산특별위원회 위원||전) 국회 평창동계올림픽 및 국제경기대회지원 특별위원회 위원||전) 국회 지식경제위원회 위원||전) 국회 쇄신특별위원회 위원||전) ㈜ KT 상무||전) ㈜ 헤리트 대표이사","새누리당","신중호 , 김윤성 , 홍유정",9770710,195928,"ehkwon1@naver.com","KWON Eun Hee","권은희","강동준 , 구본태","대구 북구갑","국회운영위원회 , 미래창조과학방송통신위원회","02-784-1051","초선( 19대 )",733,"백병환 , 양용석"
"1974-02-15","http://keh.kr","權垠希","http://www.assembly.go.kr/photo/9770906.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770906","","1993년 조선대 부속여고 졸업||1997년 전남대 사법학과 졸업||연세대 대학원 법학 박사과정 휴학중||||2001년 사법고시 합격(43회)||2004년 사법연수원 수료(33기)||2004년 권은희 법률사무소 개업||2005년 경찰청 경정 특채 합격||2005년 용인경찰서 수사과장||2006년 경찰청 법무과 근무(경정)||2007년 서초경찰서 수사과장, 수서경찰서 수사과장||2013년 송파경찰서 수사과장||2014년 관악경찰서 여성청소년과장||(전) 국회 국민안전혁신특위 위원||||(현)19대 국회의원 광주 광산을||(현) 국회 국방위원회 위원||(현) 국회 운영위원회 위원||(현) 새정치민주연합 원내 법률부대표||(현) 새정치민주연합 원내대표 비서실장","무소속","안이슬 , 강형택 , 양윤정",9770906,195928,"kwoneunhee0215@gmail.com","Kwon, Eun Hee","권은희","김평생 , 최용선","광주 광산구을","국회운영위원회 , 국방위원회 , 예산결산특별위원회","02-784-1813","초선( 19대 )",733,"김하룡 , 정진극"
"1955-02-04","http://www.giljw.com","吉炡宇","http://www.assembly.go.kr/photo/9770711.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770711","산책","○ 학력||- 경기고 졸업 (1970~1973)||- 서울대학교 외교학과 졸업 (1974~1978)||- 서울대학교 대학원 정치학 석사 (1978~1981)||- 미국 예일대학교 정치학 박사 (1981~1986)||||○ 병역||- 육군  복무만료(소집해제)||||○ 경력||- 前 주미한국대사관 의회담당관 (1987~1991)||- 前 통일부 산하 민족통일연구원 정책연구실장 (1991~1995)||- 前 중앙일보 워싱턴 특파원 (1996~2000)||- 前 중앙일보 도쿄주재 순회특파원 (2000~2001)||- 前 중앙일보 전략기획실 국제팀장 (2001~2002)||- 前 중앙일보 논설위원 (2002~2005)||- 前 중앙일보 전략기획 담당이사 및 중앙데일리 발행인 (2005~2007)||- 前 평화재단(법륜 이사장) 창립이사 (2006~2008)||- 前 중앙일보 출판법인 중앙M&B 대표이사 및 상임고문 (2007~2009)||- 前 여성중앙 발행인 (2007~2008)||- 前 서울사이버대학교 총장 대행 (2009)||- 前 운산그룹 부회장 (2010~2012)||- 前 새누리당 대표최고위원 비서실장 (2012~2013)||- 現 DMZ 문화포럼 이사 (2010~현재)||- 現 환경재단 기후변화센터 이사 (2010~현재)||- 現 한국예술종합학교 발전재단 이사 (2011~현재)||- 제19대 국회의원 (양천갑) (2012~)","새누리당","방나래, 한진영, 임이랑, 김지웅, 장재명",9770711,19551119,"tong@giljw.com","KIL Jeong Woo","길정우","손진영, 허훈","서울 양천구갑","산업통상자원위원회","02-784-1091","초선( 19대 )",714,"강현보, 손은지"
"1962-11-07","http://www.kimgh.com","金炅俠","http://www.assembly.go.kr/photo/9770712.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770712","바둑","- (현) 제19대 국회의원 (부천 원미갑)||- (현) 국회 국토교통위원회 위원(2014.6. ~ )||- (현) 국회 서민주거복지특별위원회 위원||- 국회 운영위원회 위원||- 국회 지속가능발전 특별위원회 (간사)위원||- 새정치민주연합 수석사무부총장||- (현) 새정치민주연합 을지로위원회 위원||- (현) 새정치민주연합 사회적경제정책협의회 부위원장||- 새정치민주연합 세월호특별법 준비위원||- 새정치민주연합 원내부대표(정책담담)||- 새정치민주연합 정책위 부의장||- 국회 환경노동위원회 위원(2012.5. ~ 2014.6)||- 민주통합당 좋은일자리본부 위원||- 민주통합당 쌍용자동차대책특별위원회 위원||- 민주당 사람다운 생활 보장 노동.임금 TF 위원||- 국회 공공의료정상화 국조특위 위원||- 국회 남북관계발전 특별위원회 위원||- 민주당 중산층 서민 세금폭탄저지특위 위원||||- (현) 노무현재단 기획위원||- 노무현 대통령 청와대 사회조정비서관||||- 한국산업인력공단 상임감사||- 부천근로장학재단 설립자 겸 이사장||- 한국고용복지센터 이사장||- 부천 근로자종합복지관 관장||- 한국노총 부천지역지부 의장||||- 전남 장흥 출생 (1962년생)||- 국립부산기계공업고등학교 졸업||- 성균관대학교 사회학과 졸업||- 고려대학교 노동대학원 경제학과 졸업||- 한국기술교육대학 고용정책 박사과정||||- 민주화운동(5.18 광주) 관련 2년2개월 옥살이||- 2007년, 민주화운동 유공자(제5298호)로 인정","더불어민주당","봉재현,김기선,오해미",9770712,19621100,"ggh000@naver.com","KIM Kyung Hyub","김경협","탁양삼,이재용,심재정","경기 부천시원미구갑","국토교통위원회 , 서민주거복지 특별위원회","02-784-1190","초선( 19대 )",786,"이환종"
"1969-11-15","http://www.usekky.com","金寬永","http://www.assembly.go.kr/photo/9770713.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770713","특기/성악","[국회 및 정당경력]||국회 운영위원회 위원(전)||국회 정치쇄신특별위원회 위원 (전)||국회 국토교통위원회 위원 (전)||국회 기획재정위원회 위원(현)||||민주당 원내수석부대표 (전)||민주당 수석대변인 (전)||민주당 대표 비서실장 (전)||새정치민주연합 대표 비서실장 (전)||||[학 력]||용화초등학교 졸업 (1981년)||회현중학교 졸업 (1984년)||군산제일고등학교 졸업 (1987년)||성균관대학교 졸업-경영학 전공 (1991년)||서울대학교 행정대학원-행정학 석사 (1995년)||||[자  격]||공인회계사 (1988년)-전국 최연소 합격||행정고시 재경직 (1992년)||사법고시 41회 (1999년)||||[경 력]||안건/청운 회계법인 공인회계사 (1990년~1993년)||재정경제부 행정사무관 (1993년~2000년)||사법연수원 수료 (2000년~2002년)||김앤장 법률사무소 변호사/공인회계사 (2002년~2011년)","더불어민주당","송미경,나바다,김은연,김원용,강종성",9770713,196916,"kky672@hanmail.net","KIM Kwan Young","김관영","류재섭,고은영","전북 군산시","기획재정위원회 , 예산결산특별위원회","02-784-1781","초선( 19대 )",764,"박도은,소흥수"
"1948-04-28","http://www.i333.co.kr","金光琳","http://www.assembly.go.kr/photo/9770523.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770523","","□ 경력||(現)||제18~19대 국회의원(재선,안동시)||국회 기획재정위원회 위원||새누리당 경제혁신특위 규제개혁위원장||세계결핵제로운동본부 이사장||한국발명진흥회 명예회장||예우회 회장||(前)||국회 정보위원장||한국발명진흥회 회장||국회 예산재정개혁특별위원회 위원장||국회 예산결산특별위원회 위원.간사.계수조정소위원회 위원||새누리당 여의도연구원 원장||한나라당 정책조정위원장(경제.예산.금융 총괄)||국회 운영위원회 위원, 한나라당 원내부대표||세명대학교 총장||재정경제부 차관||특허청 청장||국회 예산결산특별위원회 수석전문위원||청와대 기획조정비서관||경제기획원 예산정책과장.예산총괄과장||행정고시 14회||||□ 학력||경희대학교 대학원 행정학 박사||미국 하버드대학교 케네디스쿨 행정학 석사||서울대학교 행정대학원 행정학 석사||영남대학교 경제학과 학사||안동농림고등학교||안동중학교(사범병설중 입학)||안동초등학교","새누리당","권순구 , 김미숙 , 김소정",9770523,19481132,"glkim@na.go.kr","KIM Gwang Lim","김광림","김상현 , 김철수","경북 안동시","기획재정위원회","02-784-3063","재선( 18대 , 19대 )",548,"김재학 , 신종대"
"1981-04-28","http://bluepaper815.kr","金光珍","http://www.assembly.go.kr/photo/9770714.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770714","","김광진의원 프로필||||□ 국회||- 국회 국방위원회 위원(현) (법안소위)||- 국회 정보위원회 위원(현) (법안소위)||- 국회 군인권개선 및 병영문화혁신특별위원회 위원||- 국회 예산결산특별위원회 위원||- 국회 여성가족위원회 위원||- 국회 학교폭력대책특별위원회 위원||- 국회 청년플랜 2.0 회원||- 국회 시민정치포럼 회원||||□ 새정치민주연합||- 새정치민주연합 원내부대표||- 새정치민주연합 정책위 부의장||- 새정치민주연합 을지로위원회 위원(현)||- 새정치민주연합 방산비리조사단 위원||- 새정치민주연합 비선실세국정농단 진상조사단 위원||- 민주당 공공부문 민영화저지 특별위원회 위원||- 민주당 사이버개입 진상조사단 위원||- 민주당 국정원 개혁 홍보단 위원||- 민주당 최고위원||- 민주당 18대 대선 문재인캠프 청년특보실장||- 민주당 19대 총선 중앙공동선대위원장||||□ 지역||- 순천대학교 의과대학 설립추진위원회 위원(현)||- 전남도립미술관 설립추진위원회 위원(현)||- 순천대학교 총동창회 부회장(현)||- 노무현재단 전남지역위원회 상임운영위원(현)||- 순천 남승룡마라톤대회조직위원회 상임고문(현)||- 순천이수중학교 운영위원(현)||- 순천고등학교 장학이사(현)||- 재경 순천중·고등학교 총동창회 부회장(현)||- 민족문제연구소 전남동부지부 사무국장||- 순천 청소년축제위원회 총무국장||- 순천YMCA재정이사||||□ 학력||- 홍익대학교 대학원 재학(현)||- 국립순천대학교 대학원 사학과 수료||- 국립순천대학교 조경학과·경영학과 졸업||- 순천고등학교||- 순천 이수중학교||- 순천 용당초등학교||||□ 수상||- 2015년 한국청년유권자연맹 선정 청년통통(소통·통합)정치인상||- 2014년 한국투명성기구 선정 올해 투명사회상(정치인 최초)||- 2014년 시사저널 선정 차세대리더 100인||- 2014년 순천대 선정 ‘자랑스러운 순천대인’||- 2014년 행정부 출입기자 선정 ‘올해의 국감인물’ 6인||- 2014년 국회 사무처 선정 입법 및 정책개발 최우수의원(300명 중 5위)||- 2014년 민주당 선정 국정감사 우수의원||- 2014년 경실련 선정 국정감사 우수의원 28인||- 2013년 지구촌사랑나눔 선정 올해의 이주민 인권상||- 2013년 경실련 선정 국정감사 우수의원 34인||- 2013년 국회 사무처 선정 입법 및 정책개발 우수의원(300명 중 9위)||- 2013년 민주당 선정 국정감사 우수의원||- 2012년 민주당 선정 국정감사 최우수의원","더불어민주당","양경진 , 김종산 , 국서림",9770714,198113,"2030minju@hanmail.net","KIM Kwang Jin","김광진","김규현 , 정원석","비례대표","국방위원회 , 정보위원회","02-784-1422~4","초선( 19대 )",834,"송재환 , 차진성"
"1952-10-29","http://www.facebook.com/kksun290","金起善","http://www.assembly.go.kr/photo/9770716.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770716","바둑, 테니스","▷ 성 명 : 김기선||▷ 출 신 : 1952년 강원도 원주 출생||▷ 학 력 : 서호초 - 원주중 - 휘문고 - 경희대 행정학과||▷ 가족사항 : 처(안희복), 1남 1녀||▷ 경 력||||- 現) 국회 보건복지위원회 위원||- 現) 평창동계올림픽 및 국제경기대회 지원 특별위원회 위원||- 現) 새누리당 인천 아시아 경기대회 지원 특별위원회 위원||- 現) 새누리당 중앙위원회 부의장||- 前) 국회 안전행정위원회 위원||- 前) 국회 행정안전위원회 위원||- 前) 국회 운영위원회 위원||- 前) 새누리당 원내부대표||- 現) 제19대 국회 국회의원||- 前) 강원도 정무부지사||- 前) 국회 정책 연구위원(1급)||- 前) 강원신용보증재단 이사장||- 前) 한나라당 중앙당 정책국장||- 前) 한나라당 행정자치수석전문위원||- 前) 강원희망포럼 공동대표||- 現) 어린이재단 강원도 후원회장||||▷ 특기사항||- 바둑 아마 7단||전국대학바둑선수권대회 개인전 준우승||원주시 아마추어 바둑 대표||- 테니스(구력20년)||국회 테니스 대회 복식 우승||","새누리당","한정훈, 조민갑, 이소이, 이상민",9770716,19521133,"","KIM Ki Sun","김기선","이충우, 조동준","강원 원주시갑","보건복지위원회 , 정치개혁 특별위원회 , 평창동계올림픽 및 국제경기대회지원 특별위원회","02-784-1511","초선( 19대 )",750,"박연희, 노승국"
"1966-03-06","http://www.dreamk.kr","金起式","http://www.assembly.go.kr/photo/9770717.jpg","http://www.assembly.go.kr/assm/memPop/memPopup.do?dept_cd=9770717","","경성고등학교 졸업 (84)||서울대학교 인류학과 졸업 (98)||||現) 19대 국회의원||現) 정무위원회 간사||전) 새정치민주연합 제2정조위원장||전) 19대 총선 민주통합당 전략기획위원장||전) 내가꿈꾸는나라 공동대표||전) 혁신과통합 공동대표||전) 참여연대 사무처장||전) 참여연대 정책위원장||전) 미국 스탠퍼드대학교 아시아태평양연구소 객원연구원||전) 사회양극화해소국민연대 공동집행위원장||전) 총선시민연대 공동집행위원장","더불어민주당","김대경,고나형, 김지연, 엄소영,심상아",9770717,1966174,"dreamkisik@gmail.com","KIM Ki Sik","김기식","홍일표, 이상현","비례대표","정무위원회 , 정치개혁 특별위원회","02-784-1530","초선( 19대 )",838,"송시현, 이미래"
